cdc_case_earliest_dt,cdc_report_dt,death_yn
1/1/2020,96,Missing
1/1/2020,137,No
1/1/2020,42,Unknown
1/1/2020,468,Yes
1/2/2020,91,Missing
1/2/2020,59,No
1/2/2020,17,Unknown
1/2/2020,9,Yes
1/3/2020,68,Missing
1/3/2020,61,No
1/3/2020,7,Unknown
1/3/2020,1,Yes
1/4/2020,90,Missing
1/4/2020,176,No
1/4/2020,10,Unknown
1/4/2020,6,Yes
1/5/2020,63,Missing
1/5/2020,72,No
1/5/2020,4,Unknown
1/5/2020,7,Yes
1/6/2020,52,Missing
1/6/2020,74,No
1/6/2020,7,Unknown
1/6/2020,14,Yes
1/7/2020,34,Missing
1/7/2020,37,No
1/7/2020,7,Unknown
1/7/2020,5,Yes
1/8/2020,30,Missing
1/8/2020,32,No
1/8/2020,12,Unknown
1/8/2020,2,Yes
1/9/2020,16,Missing
1/9/2020,22,No
1/9/2020,6,Unknown
1/9/2020,1,Yes
1/10/2020,31,Missing
1/10/2020,36,No
1/10/2020,13,Unknown
1/10/2020,4,Yes
1/11/2020,28,Missing
1/11/2020,20,No
1/11/2020,7,Unknown
1/11/2020,3,Yes
1/12/2020,31,Missing
1/12/2020,42,No
1/12/2020,9,Unknown
1/12/2020,3,Yes
1/13/2020,24,Missing
1/13/2020,38,No
1/13/2020,7,Unknown
1/14/2020,13,Missing
1/14/2020,16,No
1/14/2020,5,Unknown
1/14/2020,4,Yes
1/15/2020,21,Missing
1/15/2020,40,No
1/15/2020,6,Unknown
1/15/2020,6,Yes
1/16/2020,18,Missing
1/16/2020,18,No
1/16/2020,7,Unknown
1/16/2020,1,Yes
1/17/2020,19,Missing
1/17/2020,33,No
1/17/2020,6,Unknown
1/17/2020,2,Yes
1/18/2020,25,Missing
1/18/2020,24,No
1/18/2020,6,Unknown
1/18/2020,5,Yes
1/19/2020,25,Missing
1/19/2020,34,No
1/19/2020,8,Unknown
1/19/2020,4,Yes
1/20/2020,25,Missing
1/20/2020,32,No
1/20/2020,3,Unknown
1/20/2020,3,Yes
1/21/2020,24,Missing
1/21/2020,29,No
1/21/2020,4,Unknown
1/21/2020,2,Yes
1/22/2020,14,Missing
1/22/2020,21,No
1/22/2020,2,Unknown
1/22/2020,1,Yes
1/23/2020,9,Missing
1/23/2020,27,No
1/23/2020,7,Unknown
1/23/2020,5,Yes
1/24/2020,18,Missing
